station,time,amount
ศูนย์วัฒนธรรมแห่งประเทศไทย,2017-10,592582
พระราม 9,2017-10,764145
เพชรบุรี,2017-10,619821
สุขุมวิท,2017-10,1181109
ศูนย์การประชุมแห่งชาติสิริกิติ์,2017-10,507732
คลองเตย,2017-10,67466
ลุมพินี,2017-10,311605
สีลม,2017-10,602609
สามย่าน,2017-10,322072
หัวลำโพง,2017-10,450850
บางซื่อ,2017-11,152166
กำแพงเพชร,2017-11,130121
สวนจตุจักร,2017-11,699916
พหลโยธิน,2017-11,560998
ลาดพร้าว,2017-11,571873
รัชดาภิเษก,2017-11,161478
สุทธิสาร,2017-11,406525
ห้วยขวาง,2017-11,557800
ศูนย์วัฒนธรรมแห่งประเทศไทย,2017-11,657355
พระราม 9,2017-11,832048
เพชรบุรี,2017-11,725422
สุขุมวิท,2017-11,1280328
ศูนย์การประชุมแห่งชาติสิริกิติ์,2017-11,364982
คลองเตย,2017-11,75993
ลุมพินี,2017-11,366143
สีลม,2017-11,674461
สามย่าน,2017-11,347470
หัวลำโพง,2017-11,485565
บางซื่อ,2017-12,134171
กำแพงเพชร,2017-12,148047
สวนจตุจักร,2017-12,658539
พหลโยธิน,2017-12,537489
ลาดพร้าว,2017-12,498594
รัชดาภิเษก,2017-12,140948
สุทธิสาร,2017-12,362635
ห้วยขวาง,2017-12,501013
ศูนย์วัฒนธรรมแห่งประเทศไทย,2017-12,650060
พระราม 9,2017-12,780612
เพชรบุรี,2017-12,604196
สุขุมวิท,2017-12,1202684
ศูนย์การประชุมแห่งชาติสิริกิติ์,2017-12,279723
คลองเตย,2017-12,69331
ลุมพินี,2017-12,313324
สีลม,2017-12,594151
สามย่าน,2017-12,271622
หัวลำโพง,2017-12,458129
